Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,SW101-SITE1-B,Ethernet43,l3leaf,SW401-SITE4-B,Ethernet45,True
spine,SW101-SITE1-B,Ethernet45,l3leaf,SW301-SITE3-P,Ethernet35,True
spine,SW101-SITE1-B,Ethernet47,l3leaf,SW201-SITE2-B,Ethernet47,True
spine,SW101-SITE1-B,Ethernet50,server,site1-server1,Ethernet1,True
spine,SW101-SITE1-B,Ethernet56/1,l3leaf,SW103-SITE1-P,Ethernet53/1,True
spine,SW102-SITE1-R,Ethernet43,l3leaf,SW402-SITE4-R,Ethernet45,True
spine,SW102-SITE1-R,Ethernet45,l3leaf,SW301-SITE3-P,Ethernet36,True
spine,SW102-SITE1-R,Ethernet47,l3leaf,SW202-SITE2-R,Ethernet47,True
spine,SW102-SITE1-R,Ethernet50,server,site1-server1,Ethernet2,True
spine,SW102-SITE1-R,Ethernet56/1,l3leaf,SW103-SITE1-P,Ethernet54/1,True
l3leaf,SW103-SITE1-P,Ethernet50,server,site1-server1,Ethernet3,True
l3leaf,SW103-SITE1-P,Ethernet53/1,spine,SW101-SITE1-B,Ethernet56/1,True
l3leaf,SW103-SITE1-P,Ethernet54/1,spine,SW102-SITE1-R,Ethernet56/1,True
l3leaf,SW201-SITE2-B,Ethernet47,spine,SW101-SITE1-B,Ethernet47,True
l3leaf,SW201-SITE2-B,Ethernet56/1,l3leaf,SW203-SITE2-P,Ethernet53/1,True
l3leaf,SW202-SITE2-R,Ethernet47,spine,SW102-SITE1-R,Ethernet47,True
l3leaf,SW202-SITE2-R,Ethernet56/1,l3leaf,SW203-SITE2-P,Ethernet54/1,True
l3leaf,SW203-SITE2-P,Ethernet53/1,l3leaf,SW201-SITE2-B,Ethernet56/1,True
l3leaf,SW203-SITE2-P,Ethernet54/1,l3leaf,SW202-SITE2-R,Ethernet56/1,True
l3leaf,SW301-SITE3-P,Ethernet35,spine,SW101-SITE1-B,Ethernet45,True
l3leaf,SW301-SITE3-P,Ethernet36,spine,SW102-SITE1-R,Ethernet45,True
l3leaf,SW401-SITE4-B,Ethernet45,spine,SW101-SITE1-B,Ethernet43,True
l3leaf,SW401-SITE4-B,Ethernet47,l3leaf,SW501-SITE5-B,Ethernet39,True
l3leaf,SW402-SITE4-R,Ethernet45,spine,SW102-SITE1-R,Ethernet43,True
l3leaf,SW402-SITE4-R,Ethernet47,l3leaf,SW502-SITE5-R,Ethernet39,True
l3leaf,SW501-SITE5-B,Ethernet39,l3leaf,SW401-SITE4-B,Ethernet47,True
l3leaf,SW502-SITE5-R,Ethernet39,l3leaf,SW402-SITE4-R,Ethernet47,True
